player,season_avg,hot_n,hot_during,hot_next,hot_regression,cold_n,cold_during,cold_next,cold_regression,normal_n,normal_during,normal_next,normal_regression
Julian Strawther,1.45,4,3.08,1.75,1.33,3,0.0,0.0,0.0,55,1.47,1.51,-0.04
Justin Champagnie,1.19,1,2.67,2.0,0.67,0,,,,58,1.11,1.22,-0.11
Justin Edwards,1.57,6,3.22,2.33,0.89,2,0.0,1.5,-1.5,33,1.45,1.58,-0.12
Jusuf Nurkić,0.63,4,1.75,0.5,1.25,0,,,,44,0.52,0.66,-0.14
KJ Simpson,0.92,2,2.17,0.5,1.67,0,,,,31,0.89,1.0,-0.11
Kawhi Leonard,2.11,0,,,,3,0.56,1.33,-0.78,31,2.18,2.23,-0.04
Keaton Wallace,0.87,3,2.89,1.33,1.56,0,,,,25,0.69,0.84,-0.15
Keldon Johnson,1.13,5,2.33,0.4,1.93,0,,,,69,1.05,1.2,-0.15
Kenrich Williams,0.96,8,2.12,1.0,1.12,0,,,,58,0.8,0.97,-0.16
Kentavious Caldwell-Pope,1.47,6,3.78,2.0,1.78,0,,,,68,1.3,1.46,-0.15
Keon Ellis,1.74,3,4.11,1.33,2.78,0,,,,74,1.66,1.81,-0.15
Keon Johnson,1.59,6,3.22,1.5,1.72,2,0.0,1.0,-1.0,68,1.52,1.69,-0.17
Kevin Huerter,1.91,4,4.58,2.5,2.08,1,0.0,1.0,-1.0,61,1.73,1.85,-0.13
Kevin Porter Jr.,0.73,3,2.44,1.33,1.11,0,,,,69,0.65,0.72,-0.07
Keyonte George,2.6,2,4.67,2.0,2.67,2,0.67,3.0,-2.33,60,2.66,2.65,0.01
Khris Middleton,1.3,5,2.93,1.8,1.13,0,,,,29,1.05,1.28,-0.23
Klay Thompson,3.0,4,5.08,1.75,3.33,1,1.0,3.0,-2.0,64,2.9,2.98,-0.09
Kris Dunn,1.01,1,2.67,1.0,1.67,0,,,,70,0.96,1.0,-0.04
Kristaps Porziņģis,2.45,4,4.42,2.0,2.42,0,,,,35,2.17,2.54,-0.37
Kyle Filipowski,1.07,9,2.44,1.56,0.89,0,,,,60,0.86,1.02,-0.16
Kyle Kuzma,1.48,3,3.44,2.0,1.44,0,,,,59,1.32,1.44,-0.12
Kyle Lowry,0.83,6,2.17,1.33,0.83,0,,,,26,0.46,0.5,-0.04
