player,during_hot,next_game_stat,regression,next_opp,next_location,opp_def_tier,opp_3p_pct_allowed,opp_pace,minutes_trend,was_blowout_recent
DaQuan Jeffries,3.0,1.0,2.0,MIA,away,Mid (11-20),0.36,97.08,6.900709219858157,False
DaQuan Jeffries,2.3333333333333335,1.0,1.3333333333333335,ORL,home,Bad (21-30),0.365,96.51,3.9007092198581574,False
Dalano Banton,3.0,3.0,0.0,OKC,away,Elite (top 10),0.342,100.9,7.9353233830845795,False
Dalano Banton,2.6666666666666665,0.0,2.6666666666666665,HOU,away,Mid (11-20),0.357,99.03,8.268656716417912,False
Dalton Knecht,4.0,9.0,-5.0,UTA,home,Mid (11-20),0.358,100.85,12.205128205128204,False
Dalton Knecht,5.333333333333333,3.0,2.333333333333333,ORL,home,Bad (21-30),0.365,96.51,14.538461538461537,True
Dalton Knecht,5.666666666666667,1.0,4.666666666666667,DEN,home,Bad (21-30),0.365,100.67,18.871794871794872,False
Dalton Knecht,4.333333333333333,1.0,3.333333333333333,PHX,away,Bad (21-30),0.37,98.31,15.871794871794872,True
Dalton Knecht,3.6666666666666665,1.0,2.6666666666666665,UTA,away,Mid (11-20),0.358,100.85,8.53846153846154,False
Dalton Knecht,3.6666666666666665,0.0,3.6666666666666665,MIN,away,Elite (top 10),0.353,97.95,12.205128205128204,True
Darius Garland,5.666666666666667,2.0,3.666666666666667,BKN,home,Mid (11-20),0.362,96.73,1.0,True
Darius Garland,4.333333333333333,2.0,2.333333333333333,DEN,away,Bad (21-30),0.365,100.67,-2.666666666666668,True
Darius Garland,4.333333333333333,1.0,3.333333333333333,TOR,away,Elite (top 10),0.349,100.62,-0.6666666666666679,True
Davion Mitchell,2.3333333333333335,1.0,1.3333333333333335,NYK,home,Bad (21-30),0.367,97.64,5.288288288288285,False
Davion Mitchell,2.6666666666666665,1.0,1.6666666666666665,CLE,away,Mid (11-20),0.359,100.31,9.621621621621621,False
Davion Mitchell,2.3333333333333335,3.0,-0.6666666666666665,BOS,away,Elite (top 10),0.347,96.59,5.954954954954957,True
Davion Mitchell,2.6666666666666665,3.0,-0.3333333333333335,MEM,home,Mid (11-20),0.36,103.69,6.621621621621621,True
