player,during_hot,next_game_stat,regression,next_opp,next_location,opp_def_tier,opp_3p_pct_allowed,opp_pace,minutes_trend,was_blowout_recent,season_avg,your_fair_line,naive_line,actual_outcome,distance_to_yours,distance_to_naive,your_line_wins,volume_tier,minutes_trend_bucket
Ayo Dosunmu,2.6666666666666665,1.0,1.6666666666666663,TOR,away,Elite (top 10),0.349,100.62,2.7173913043478244,False,1.35,1.35,2.6666666666666665,1.0,0.3500000000000001,1.6666666666666665,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Ayo Dosunmu,2.6666666666666665,2.0,0.6666666666666665,BOS,away,Elite (top 10),0.347,96.59,-1.9492753623188437,True,1.35,1.35,2.6666666666666665,2.0,0.6499999999999999,0.6666666666666665,True,Medium (3-5 3PA/g),Stable (±2)
Ayo Dosunmu,2.6666666666666665,2.0,0.6666666666666665,TOR,away,Elite (top 10),0.349,100.62,1.0507246376811563,True,1.35,1.35,2.6666666666666665,2.0,0.6499999999999999,0.6666666666666665,True,Medium (3-5 3PA/g),Stable (±2)
Ayo Dosunmu,2.6666666666666665,2.0,0.6666666666666665,DET,away,Bad (21-30),0.366,100.27,3.3840579710144887,False,1.35,1.35,2.6666666666666665,2.0,0.6499999999999999,0.6666666666666665,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Ben Sheppard,3.0,1.0,2.0,DAL,away,Mid (11-20),0.363,100.15,6.126984126984127,False,1.08,1.08,3.0,1.0,0.08000000000000007,2.0,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Ben Sheppard,2.6666666666666665,2.0,0.6666666666666665,ORL,home,Bad (21-30),0.365,96.51,4.126984126984127,False,1.08,1.08,2.6666666666666665,2.0,0.9199999999999999,0.6666666666666665,False,Medium (3-5 3PA/g),Minutes UP (>+2)
Ben Sheppard,3.0,0.0,3.0,CHA,away,Elite (top 10),0.355,98.22,0.7936507936507908,False,1.08,1.08,3.0,0.0,1.08,3.0,True,Medium (3-5 3PA/g),Stable (±2)
Ben Sheppard,2.333333333333333,0.0,2.333333333333333,WAS,away,Mid (11-20),0.364,101.82,-0.5396825396825413,False,1.08,1.08,2.333333333333333,0.0,1.08,2.333333333333333,True,Medium (3-5 3PA/g),Stable (±2)
Bennedict Mathurin,3.333333333333333,1.0,2.333333333333333,ORL,away,Bad (21-30),0.365,96.51,7.138888888888889,True,1.36,1.36,3.333333333333333,1.0,0.3600000000000001,2.333333333333333,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Bennedict Mathurin,3.333333333333333,0.0,3.333333333333333,MIA,home,Mid (11-20),0.36,97.08,7.472222222222225,False,1.36,1.36,3.333333333333333,0.0,1.36,3.333333333333333,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Bennedict Mathurin,2.6666666666666665,1.0,1.6666666666666663,MIA,home,Mid (11-20),0.36,97.08,5.138888888888889,True,1.36,1.36,2.6666666666666665,1.0,0.3600000000000001,1.6666666666666665,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Bennedict Mathurin,2.6666666666666665,0.0,2.6666666666666665,TOR,away,Elite (top 10),0.349,100.62,6.805555555555554,False,1.36,1.36,2.6666666666666665,0.0,1.36,2.6666666666666665,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Bennedict Mathurin,2.6666666666666665,0.0,2.6666666666666665,PHI,home,Bad (21-30),0.378,98.13,2.8055555555555536,False,1.36,1.36,2.6666666666666665,0.0,1.36,2.6666666666666665,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Bobby Portis,3.0,0.0,3.0,BKN,home,Mid (11-20),0.362,96.73,2.632653061224488,False,1.33,1.33,3.0,0.0,1.33,3.0,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Bogdan Bogdanović,3.333333333333333,0.0,3.333333333333333,NYK,home,Bad (21-30),0.367,97.64,10.740740740740735,True,1.94,1.94,3.333333333333333,0.0,1.94,3.333333333333333,True,High (5+ 3PA/g),Minutes UP (>+2)
Brandin Podziemski,4.0,2.0,2.0,MIA,away,Mid (11-20),0.36,97.08,6.458333333333336,False,1.8,1.8,4.0,2.0,0.19999999999999996,2.0,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Brandin Podziemski,5.0,4.0,1.0,DEN,home,Bad (21-30),0.365,100.67,3.458333333333332,False,1.8,1.8,5.0,4.0,2.2,1.0,False,Medium (3-5 3PA/g),Minutes UP (>+2)
Brandin Podziemski,4.0,4.0,0.0,HOU,home,Mid (11-20),0.357,99.03,6.458333333333336,False,1.8,1.8,4.0,4.0,2.2,0.0,False,Medium (3-5 3PA/g),Minutes UP (>+2)
Brandin Podziemski,5.333333333333333,4.0,1.333333333333333,PHX,away,Bad (21-30),0.37,98.31,7.458333333333336,True,1.8,1.8,5.333333333333333,4.0,2.2,1.333333333333333,False,Medium (3-5 3PA/g),Minutes UP (>+2)
Brandin Podziemski,4.0,1.0,3.0,SAS,home,Bad (21-30),0.365,100.08,2.791666666666668,True,1.8,1.8,4.0,1.0,0.8,3.0,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Brandon Boston,2.333333333333333,0.0,2.333333333333333,CLE,away,Mid (11-20),0.359,100.31,10.999999999999996,False,1.17,1.17,2.333333333333333,0.0,1.17,2.333333333333333,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Brandon Boston,2.333333333333333,1.0,1.3333333333333337,HOU,away,Mid (11-20),0.357,99.03,4.666666666666664,False,1.17,1.17,2.333333333333333,1.0,0.16999999999999993,1.333333333333333,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Brice Sensabaugh,5.0,2.0,3.0,CHA,home,Elite (top 10),0.355,98.22,6.788732394366196,False,2.21,2.21,5.0,2.0,0.20999999999999996,3.0,True,High (5+ 3PA/g),Minutes UP (>+2)
Brice Sensabaugh,4.666666666666667,6.0,-1.333333333333333,MIN,away,Elite (top 10),0.353,97.95,12.788732394366196,True,2.21,2.21,4.666666666666667,6.0,3.79,1.333333333333333,False,High (5+ 3PA/g),Minutes UP (>+2)
