player,season_avg,hot_n,hot_regression,cold_n,cold_regression,normal_n,normal_regression,PLAYER_NAME,FG3A,MIN,GP,volume_tier,years_pro,experience_tier
Miles Bridges,2.2,7,1.86,2,-0.33,52,-0.21,Miles Bridges,7.0,31.7,64,High (5+ 3PA/g),6,Mid-career (3-7 yrs)
Miles McBride,1.8,3,1.67,1,-2.67,57,-0.06,Miles McBride,4.9,24.9,64,Medium (3-5 3PA/g),4,Mid-career (3-7 yrs)
Moritz Wagner,0.9,2,1.5,2,-0.5,23,-0.06,Moritz Wagner,2.5,18.8,30,Low (2-3 3PA/g),7,Mid-career (3-7 yrs)
Moses Moody,1.7,2,2.33,2,-1.33,67,-0.0,Moses Moody,4.6,22.3,74,Medium (3-5 3PA/g),4,Mid-career (3-7 yrs)
Mouhamed Gueye,0.64,1,1.67,0,,29,-0.11,Mouhamed Gueye,2.5,16.1,33,Low (2-3 3PA/g),2,Young (0-2 yrs)
Myles Turner,2.17,3,1.33,0,,66,-0.05,Myles Turner,5.5,30.2,72,High (5+ 3PA/g),10,Veteran (8+ yrs)
Naji Marshall,0.87,4,0.75,0,,62,-0.09,Naji Marshall,3.2,27.8,69,Medium (3-5 3PA/g),5,Mid-career (3-7 yrs)
Naz Reid,2.19,4,1.08,1,-2.67,72,0.01,Naz Reid,5.8,27.5,80,High (5+ 3PA/g),6,Mid-career (3-7 yrs)
Nick Smith Jr.,1.73,3,2.0,3,-2.0,51,-0.12,Nick Smith Jr.,5.1,22.8,60,High (5+ 3PA/g),2,Young (0-2 yrs)
Nickeil Alexander-Walker,1.72,4,2.25,4,-1.67,71,-0.02,Nickeil Alexander-Walker,4.5,25.3,82,Medium (3-5 3PA/g),6,Mid-career (3-7 yrs)
Nicolas Batum,1.13,7,0.86,0,,68,-0.17,Nicolas Batum,2.6,17.5,78,Low (2-3 3PA/g),17,Veteran (8+ yrs)
Nikola Jović,1.7,3,1.0,2,-1.17,38,0.04,Nikola Jović,4.6,25.1,46,Medium (3-5 3PA/g),3,Mid-career (3-7 yrs)
Nikola Vučević,1.77,6,1.78,2,-1.83,62,-0.05,Nikola Vučević,4.4,31.2,73,Medium (3-5 3PA/g),14,Veteran (8+ yrs)
Noah Clowney,1.89,2,1.83,0,,41,-0.09,Noah Clowney,5.7,22.7,46,High (5+ 3PA/g),2,Young (0-2 yrs)
Obi Toppin,1.39,7,1.62,0,,69,-0.17,Obi Toppin,3.8,19.6,79,Medium (3-5 3PA/g),5,Mid-career (3-7 yrs)
Ochai Agbaji,1.58,5,1.4,0,,56,-0.19,Ochai Agbaji,4.0,27.2,64,Medium (3-5 3PA/g),3,Mid-career (3-7 yrs)
Onyeka Okongwu,0.65,5,1.0,0,,66,-0.08,Onyeka Okongwu,2.0,27.9,74,Low (2-3 3PA/g),5,Mid-career (3-7 yrs)
Patrick Williams,1.52,2,2.17,0,,58,-0.09,Patrick Williams,4.3,25.0,63,Medium (3-5 3PA/g),5,Mid-career (3-7 yrs)
Payton Pritchard,3.19,6,3.0,2,-2.67,69,-0.16,Payton Pritchard,7.8,28.4,80,High (5+ 3PA/g),5,Mid-career (3-7 yrs)
Peyton Watson,0.71,5,1.33,0,,60,-0.14,Peyton Watson,2.0,24.3,68,Low (2-3 3PA/g),3,Mid-career (3-7 yrs)
Quentin Grimes,2.16,6,2.11,3,-1.78,63,-0.17,Quentin Grimes,5.6,26.8,75,High (5+ 3PA/g),4,Mid-career (3-7 yrs)
Quinten Post,1.74,3,1.33,0,,36,-0.12,Quinten Post,4.3,16.3,42,Medium (3-5 3PA/g),1,Young (0-2 yrs)
Ricky Council IV,0.75,6,1.67,0,,64,-0.18,Ricky Council IV,2.9,17.1,73,Low (2-3 3PA/g),3,Mid-career (3-7 yrs)
Royce O'Neale,2.39,6,2.0,0,,66,-0.18,Royce O'Neale,5.9,24.5,75,High (5+ 3PA/g),8,Veteran (8+ yrs)
Rui Hachimura,1.73,1,2.67,2,-1.67,53,0.01,Rui Hachimura,4.2,31.7,59,Medium (3-5 3PA/g),6,Mid-career (3-7 yrs)
Russell Westbrook,1.25,3,1.56,2,-0.5,67,-0.06,Russell Westbrook,3.9,27.9,75,Medium (3-5 3PA/g),17,Veteran (8+ yrs)
Ryan Dunn,1.11,7,0.76,0,,64,-0.09,Ryan Dunn,3.6,19.1,74,Medium (3-5 3PA/g),1,Young (0-2 yrs)
Sam Hauser,2.34,3,2.11,1,-3.0,64,-0.14,Sam Hauser,5.6,21.7,71,High (5+ 3PA/g),4,Mid-career (3-7 yrs)
Sam Merrill,1.93,3,1.44,0,,65,-0.12,Sam Merrill,5.2,19.7,71,High (5+ 3PA/g),5,Mid-career (3-7 yrs)
Santi Aldama,1.85,0,,1,-3.0,61,0.08,Santi Aldama,5.0,25.5,65,High (5+ 3PA/g),4,Mid-career (3-7 yrs)
Scoot Henderson,1.59,5,1.47,0,,58,-0.15,Scoot Henderson,4.5,26.7,66,Medium (3-5 3PA/g),2,Young (0-2 yrs)
Scotty Pippen Jr.,1.1,7,1.38,0,,69,-0.14,Scotty Pippen Jr.,2.8,21.3,79,Low (2-3 3PA/g),3,Mid-career (3-7 yrs)
